account_id,account_type,snapshot_date,employee_count,industry,intent_score,mql_count_90d,trial_started,trial_active_users,web_touchpoints_90d,sales_contacts_90d
ACC-01073,Prospect,2026-04-11,9,Healthcare,,1,0,0,2,0
ACC-00533,Prospect,2026-07-19,65,Manufacturing,63.0,1,0,0,7,0
ACC-01319,Prospect,2025-08-15,17,Retail,,0,0,0,5,0
ACC-00160,Suspect,2026-04-06,63,Professional Services,6.9,0,0,0,8,3
ACC-00275,Suspect,2026-04-05,80,Healthcare,46.3,0,0,0,0,1
ACC-00144,Prospect,2025-10-13,29,Financial Services,19.5,1,0,0,6,0
ACC-00989,Suspect,2026-05-01,9,Professional Services,,3,0,0,9,0
ACC-00270,Suspect,2026-04-28,45,Financial Services,12.0,0,0,0,2,5
ACC-01192,Prospect,2026-04-03,112,Software,18.8,3,0,0,3,0
ACC-00272,Prospect,2025-01-23,73,Financial Services,44.2,0,0,0,6,3
ACC-00915,Prospect,2026-04-19,93,Retail,43.7,1,0,0,3,6
ACC-00614,Prospect,2026-05-10,92,Professional Services,,1,0,0,5,0
ACC-00602,Prospect,2026-03-02,25,Financial Services,,3,0,0,3,2
ACC-00369,Prospect,2025-05-04,40,Healthcare,20.3,0,0,0,0,2
ACC-00295,Prospect,2026-04-21,95,Manufacturing,37.2,2,0,0,1,0
ACC-00109,Suspect,2024-11-21,112,Manufacturing,21.9,1,0,0,0,1
ACC-00806,Prospect,2026-03-24,82,Healthcare,26.0,0,0,0,3,4
ACC-00787,Former Customer,2026-04-04,62,Manufacturing,53.2,3,1,5,0,0
ACC-00289,Prospect,2025-06-20,50,Healthcare,19.4,0,0,0,5,0
ACC-00935,Suspect,2025-12-10,218,Manufacturing,,0,0,0,2,5
ACC-01414,Prospect,2026-04-08,34,Manufacturing,23.5,2,0,0,0,2
ACC-00461,Suspect,2025-11-27,173,Professional Services,,5,0,0,10,0
ACC-00763,Suspect,2025-12-20,66,Healthcare,,0,0,0,4,0
ACC-00481,Former Customer,2026-04-20,63,Healthcare,,5,0,0,0,3
ACC-00313,Prospect,2026-05-02,466,Retail,,2,0,0,4,2
ACC-00789,Suspect,2025-09-30,91,Professional Services,53.3,1,0,0,0,0
ACC-01145,Prospect,2025-10-01,187,Manufacturing,33.5,0,0,0,2,3
ACC-00561,Prospect,2025-05-21,82,Professional Services,13.7,0,0,0,4,2
ACC-01179,Suspect,2026-05-04,672,Manufacturing,51.6,2,0,0,0,0
ACC-00700,Suspect,2026-03-21,5,Professional Services,,0,0,0,8,0
ACC-00049,Prospect,2026-04-22,105,Financial Services,12.1,0,0,0,0,0
ACC-01025,Prospect,2026-04-28,29,Financial Services,,3,0,0,0,0
ACC-00730,Suspect,2025-10-03,16,Financial Services,41.2,3,0,0,10,1
ACC-00236,Prospect,2026-04-01,80,Retail,,0,0,0,4,0
ACC-00564,Prospect,2026-04-19,7,Professional Services,,1,1,4,0,0
ACC-01229,Prospect,2026-05-10,114,Software,12.0,1,0,0,5,0
ACC-00980,Suspect,2026-03-16,287,Retail,20.3,0,0,0,0,2
ACC-00550,Suspect,2026-04-29,22,Professional Services,7.5,5,0,0,2,1
ACC-00414,Prospect,2026-04-18,14,Financial Services,,3,0,0,0,4
ACC-00839,Prospect,2026-04-11,48,Manufacturing,9.8,1,0,0,1,4
ACC-00376,Former Customer,2026-05-10,40,Financial Services,29.2,2,0,0,0,0
ACC-00506,Suspect,2026-07-12,16,Software,51.8,0,0,0,0,7
ACC-00449,Prospect,2025-07-19,24,Manufacturing,,1,0,0,3,0
ACC-00910,Prospect,2025-07-13,19,Healthcare,47.5,1,0,0,1,2
ACC-00299,Suspect,2025-09-06,617,Software,,2,0,0,0,0
ACC-00267,Former Customer,2026-04-08,134,Financial Services,,0,0,0,0,0
ACC-01290,Suspect,2026-04-12,467,Professional Services,38.1,0,0,0,7,0
ACC-00285,Suspect,2026-03-11,140,Professional Services,36.6,3,1,3,4,0
ACC-01282,Prospect,2026-04-20,121,Professional Services,,3,0,0,1,3
ACC-01128,Suspect,2026-03-11,20,Retail,,0,1,5,0,1
ACC-00438,Prospect,2024-10-31,22,Retail,4.3,3,0,0,1,0
ACC-01491,Prospect,2025-10-15,188,Retail,33.2,1,1,3,0,5
ACC-00273,Former Customer,2025-04-24,30,Professional Services,25.6,1,0,0,0,0
ACC-00972,Suspect,2026-05-31,186,Retail,,3,0,0,4,1
ACC-00391,Former Customer,2026-03-04,81,Retail,,0,0,0,11,2
ACC-00116,Prospect,2024-10-23,100,Healthcare,42.5,0,0,0,2,3
ACC-00130,Prospect,2026-03-05,19,Healthcare,,0,0,0,1,3
ACC-00476,Suspect,2026-03-23,163,Financial Services,17.6,0,0,0,2,0
ACC-00191,Prospect,2026-06-22,33,Professional Services,55.4,2,0,0,1,1
ACC-00287,Prospect,2025-10-07,51,Professional Services,,0,0,0,0,0
ACC-00570,Prospect,2026-04-18,28,Manufacturing,,0,0,0,0,5
ACC-00112,Prospect,2026-05-12,145,Financial Services,15.0,4,0,0,2,4
ACC-00908,Suspect,2025-02-22,143,Financial Services,14.4,2,1,0,0,1
ACC-00345,Suspect,2026-05-01,53,Manufacturing,,5,0,0,6,3
ACC-00284,Suspect,2026-05-29,39,Manufacturing,,4,1,0,0,1
ACC-00082,Prospect,2026-05-12,50,Professional Services,53.3,0,0,0,0,4
ACC-00065,Suspect,2025-11-14,42,Healthcare,8.1,0,1,0,13,1
ACC-00334,Prospect,2026-04-08,49,Professional Services,24.9,0,0,0,4,0
ACC-01038,Prospect,2025-11-01,31,Professional Services,19.5,0,0,0,7,1
ACC-01263,Former Customer,2026-05-26,290,Software,30.4,0,0,0,0,0
ACC-00707,Prospect,2026-05-22,163,Manufacturing,33.0,2,0,0,1,2
ACC-01227,Suspect,2026-02-05,163,Retail,27.4,1,1,0,3,1
ACC-01411,Prospect,2026-05-24,52,Retail,22.3,2,0,0,8,1
ACC-00371,Former Customer,2025-11-18,22,Financial Services,63.9,4,1,2,8,2
ACC-00541,Suspect,2026-04-22,136,Manufacturing,31.5,2,0,0,1,3
ACC-00015,Prospect,2026-05-10,91,Software,,0,0,0,4,4
ACC-00824,Former Customer,2025-12-27,323,Retail,,0,0,0,0,2
ACC-01019,Prospect,2026-03-24,29,Manufacturing,7.7,5,0,0,0,4
ACC-00690,Prospect,2026-05-18,30,Retail,,2,0,0,0,4
ACC-01493,Prospect,2026-05-02,87,Healthcare,40.7,0,0,0,10,1
ACC-01339,Prospect,2025-12-04,42,Healthcare,70.1,0,0,0,3,0
ACC-01266,Suspect,2026-06-14,111,Manufacturing,38.9,2,0,0,5,1
ACC-00100,Suspect,2026-04-29,16,Software,41.9,1,0,0,12,1
ACC-01155,Prospect,2026-07-02,85,Retail,23.5,4,0,0,1,7
ACC-00873,Prospect,2026-01-02,29,Professional Services,,0,0,0,11,2
ACC-00631,Prospect,2026-01-02,38,Software,,0,0,0,8,0
ACC-00718,Prospect,2025-12-20,25,Manufacturing,70.2,0,0,0,2,0
ACC-00400,Suspect,2026-05-07,109,Software,24.2,1,0,0,0,4
ACC-00021,Prospect,2026-04-24,28,Professional Services,,1,0,0,0,0
ACC-00537,Prospect,2025-06-10,14,Professional Services,9.9,0,0,0,2,0
ACC-00232,Prospect,2026-06-03,301,Retail,23.6,1,1,3,0,1
ACC-01157,Suspect,2026-03-24,125,Financial Services,13.3,2,1,3,6,0
ACC-00657,Prospect,2025-09-30,562,Financial Services,24.2,4,0,0,8,0
ACC-00086,Prospect,2026-04-14,26,Professional Services,17.9,0,1,3,4,0
ACC-00697,Former Customer,2025-02-08,167,Financial Services,,0,0,0,3,0
ACC-00870,Suspect,2026-03-27,61,Software,31.7,4,0,0,3,4
ACC-01337,Prospect,2026-03-24,28,Software,15.2,3,1,1,2,0
ACC-00043,Suspect,2026-06-28,23,Manufacturing,43.6,0,0,0,4,3
ACC-01212,Prospect,2026-05-07,27,Software,8.1,0,0,0,1,2
ACC-00864,Suspect,2026-07-29,6,Retail,,1,0,0,0,0
ACC-01434,Suspect,2026-01-15,700,Financial Services,25.0,2,0,0,0,0
ACC-01464,Suspect,2026-05-27,145,Professional Services,19.0,3,0,0,4,1
ACC-01257,Suspect,2025-06-06,19,Financial Services,37.6,0,0,0,0,0
ACC-00940,Former Customer,2026-05-07,42,Financial Services,,0,0,0,0,0
ACC-00527,Suspect,2025-08-23,107,Retail,30.7,3,0,0,0,5
ACC-00018,Prospect,2025-01-10,22,Retail,,1,0,0,1,0
ACC-00418,Suspect,2026-02-02,147,Financial Services,,1,1,0,0,1
