account_id,account_type,snapshot_date,employee_count,industry,intent_score,mql_count_90d,trial_started,trial_active_users,web_touchpoints_90d,sales_contacts_90d,converted_within_90d
ACC-00002,Suspect,2026-07-07,21,Retail,,2,1,1,9,4,0
ACC-00003,Suspect,2024-11-27,21,Professional Services,30.9,0,1,1,8,0,0
ACC-00004,Prospect,2025-01-18,72,Financial Services,,4,0,0,2,0,0
ACC-00005,Prospect,2026-06-22,54,Manufacturing,22.7,0,0,0,3,0,0
ACC-00006,Former Customer,2026-01-26,63,Software,,2,0,0,8,0,0
ACC-00007,Prospect,2025-12-04,97,Manufacturing,51.7,4,0,0,3,5,0
ACC-00008,Prospect,2025-09-09,130,Healthcare,,3,0,0,11,4,0
ACC-00009,Prospect,2026-01-07,142,Healthcare,20.9,2,0,0,6,1,0
ACC-00010,Prospect,2025-11-11,232,Financial Services,35.8,1,0,0,6,1,1
ACC-00012,Prospect,2026-05-20,41,Professional Services,,1,0,0,2,0,0
ACC-00013,Prospect,2025-11-30,54,Healthcare,7.1,0,1,4,6,1,0
ACC-00014,Former Customer,2025-04-03,8,Financial Services,,0,0,0,0,0,0
ACC-00016,Prospect,2026-05-06,37,Manufacturing,,0,0,0,0,0,0
ACC-00017,Prospect,2025-07-30,40,Professional Services,,0,1,5,0,3,0
ACC-00019,Suspect,2026-02-11,114,Retail,36.3,0,0,0,9,0,0
ACC-00020,Prospect,2025-06-17,45,Manufacturing,,2,1,5,0,0,0
ACC-00022,Former Customer,2024-11-14,23,Healthcare,14.4,1,0,0,0,5,0
ACC-00023,Prospect,2025-05-24,13,Healthcare,,0,0,0,0,5,0
ACC-00024,Suspect,2025-08-10,205,Software,16.2,1,0,0,0,5,0
ACC-00025,Prospect,2025-12-18,379,Professional Services,44.3,3,0,0,0,5,0
ACC-00026,Suspect,2026-02-10,42,Financial Services,33.6,0,0,0,7,2,0
ACC-00027,Prospect,2025-12-13,23,Professional Services,,3,0,0,5,0,0
ACC-00028,Suspect,2026-03-28,169,Professional Services,44.0,0,0,0,0,4,0
ACC-00029,Suspect,2025-08-22,21,Software,25.1,0,0,0,0,3,0
ACC-00030,Suspect,2025-12-26,1295,Retail,36.7,0,0,0,6,0,0
ACC-00031,Suspect,2025-09-03,52,Financial Services,,1,0,0,7,0,0
ACC-00032,Suspect,2026-02-02,219,Financial Services,39.4,1,1,4,0,4,0
